restuarant_name,restuarant_url,contact_number,address,review_count,categories,pricing,rating
Opium,https://www.yelp.com/biz/opium-kuala-lumpur,03-2142 5670,"50, Changkat Bukit Bintang",26,Asian Fusion,$$,4.5 star rating
Songket Restaurant,https://www.yelp.com/biz/songket-restaurant-kuala-lumpur,016-922 7608,"29, Jalan Yap Kwan Seng",4,Venues & Event Spaces,,5 star rating
"Ali, Muthu & Ah Hock",https://www.yelp.com/biz/ali-muthu-and-ah-hock-kuala-lumpur,03-2022 3588,"13, Jalan Balai Polis",15,Malaysian,$,4 star rating
Restoran Yut Kee,https://www.yelp.com/biz/kedai-makanan-yut-kee-kuala-lumpur,03-2698 8108,"1, Jalan Kamunting",20,Hainan,$,4 star rating
Cantaloupe,https://www.yelp.com/biz/cantaloupe-kuala-lumpur,Located in The Troika,Located in The Troika,8,Diners,$$$$,5 star rating
Restoran Kin Kin,https://www.yelp.com/biz/restoran-kin-kin-kuala-lumpur,016-372 8069,"40, Jalan Dewan Sultan Sulaiman",25,Chinese,$,4.5 star rating
Hong Kee Claypot Chicken Rice,https://www.yelp.com/biz/hong-kee-claypot-chicken-rice-kuala-lumpur,,89A Jalan Sultan,5,Malaysian,,4.5 star rating
Nasi Lemak Antarabangsa,https://www.yelp.com/biz/nasi-lemak-antarabangsa-kuala-lumpur,010-881 8080,4 Jalan Raja Muda Musa,3,Malaysian,$,4.5 star rating
Alor Food Corner,https://www.yelp.com/biz/alor-food-corner-kuala-lumpur,012-670 5512,"79, Jalan Alor",4,Halal,$,4.5 star rating
Bijan,https://www.yelp.com/biz/bijan-kuala-lumpur,03-2031 3575,3 Jalan Ceylon,22,Malaysian,$$$,4 star rating
Favola,https://www.yelp.com/biz/favola-kuala-lumpur,Located in Le Méridien Kuala Lumpur,Located in Le Méridien Kuala Lumpur,7,Italian,$$$,5 star rating
Sek Yuen Restaurant,https://www.yelp.com/biz/sek-yuen-restaurant-kuala-lumpur,03-9222 0903,"315, Jalan Pudu",11,Chinese,$$,4.5 star rating
Pinchos Tapas Bar,https://www.yelp.com/biz/pinchos-tapas-bar-kuala-lumpur,03-2145 8482,"18, Changkat Bukit Bintang, Bukit Bintang",14,Spanish,$$$,4.5 star rating
Hakka Restaurant,https://www.yelp.com/biz/hakka-restaurant-kuala-lumpur-3,03-2143 1908,"90, Jalan Raja Chulan",11,Asian Fusion,$$,4 star rating
Koryo-Won,https://www.yelp.com/biz/koryo-won-kuala-lumpur,03-2143 2189,181 Jalan Bukit Bintang,3,Asian Fusion,,5 star rating
Onde Onde,https://www.yelp.com/biz/onde-onde-kuala-lumpur,03-7832 5551,100 Jalan Putra,2,Malaysian,,5 star rating
TG’s Nasi Kandar,https://www.yelp.com/biz/tgs-nasi-kandar-kuala-lumpur,03-2110 1221,Changkat Bukit Bintang,19,Indian,$,4.5 star rating
Food Republic,https://www.yelp.com/biz/food-republic-kuala-lumpur,03-2142 8006,168 Jalan Bukit Bintang,14,Food Court,$,4.5 star rating
My BurgerLab,https://www.yelp.com/biz/my-burger-lab-kuala-lumpur,,"8, Jalan Awan Hijau",13,Burgers,$$,4 star rating
Tarbush Restaurant,https://www.yelp.com/biz/tarbush-restaurant-kuala-lumpur-4,03-2142 8558,138 Jalan Bukit Bintang,9,Arabian,$$$,4.5 star rating
Madam Kwan’s,https://www.yelp.com/biz/madam-kwans-kuala-lumpur-5,Located in Suria KLCC,Located in Suria KLCC,40,Malaysian,$$,3.5 star rating
Marble 8,https://www.yelp.com/biz/marble-8-kuala-lumpur,Located in Suria KLCC,Located in Suria KLCC,10,Steakhouses,$$$,4.5 star rating
Soong Kee Beef Ball Noodles,https://www.yelp.com/biz/soong-kee-beef-ball-noodles-kuala-lumpur,03-2078 1484,"86, Jalan Tun H S Lee",13,Hakka,$$,4.5 star rating
Shawarma Damascus,https://www.yelp.com/biz/shawarma-damascus-kuala-lumpur-2,017-316 4981,"Jalan Bukit Bintang GF05, Yayasan Selangor",3,Middle Eastern,,5 star rating
Skillet @ 163,https://www.yelp.com/biz/skillet-163-kuala-lumpur,03-2181 2426,"163, Fraser Place",4,Asian Fusion,$$$,4.5 star rating
Naughty Babe Dirty Duck,https://www.yelp.com/biz/naughty-babe-dirty-duck-kuala-lumpur,03-6211 9966,"42, Jalan 25/70a",11,Salad,$$,4 star rating
Al-Andalus,https://www.yelp.com/biz/al-andalus-kuala-lumpur,03-2110 0373,"13, Jalan Delima",3,Middle Eastern,$$$,4.5 star rating
113 Food Court,https://www.yelp.com/biz/113-food-court-kuala-lumpur,,"Jalan Bunga Tanjung 8a,",1,Chinese,,5 star rating
Lot 10 Hutong,https://www.yelp.com/biz/lot-10-hutong-kuala-lumpur-2,Located in Lot 10,Located in Lot 10,35,Food Court,$$,4 star rating
Restaurant Siu Siu,https://www.yelp.com/biz/restaurant-siu-siu-kuala-lumpur,03-9222 2203,Jalan Sungai Besi,1,Chinese,,5 star rating
The Orchid Conservatory,https://www.yelp.com/biz/the-orchid-conservatory-kuala-lumpur,,5 Jalan Sultan Hishamuddin,2,Diners,,4.5 star rating
Al-Siddiq Express,https://www.yelp.com/biz/al-siddiq-express-kuala-lumpur,018-247 7090,Jalan Sultan Ismail,1,Syrian,,5 star rating
Restoran Stadium Negara,https://www.yelp.com/biz/restoran-stadium-negara-kuala-lumpur,03-2161 8557,"2 Persiaran Lidcol, Off Jalan Yap Kwan Seng",2,Malaysian,$$,3.5 star rating
Naughty Nuri’s,https://www.yelp.com/biz/naughty-nuri-s-kuala-lumpur,019-300 7221,"Ground Floor, 20 Jalan Sultan Ismail",2,Tapas Bars,,4.5 star rating
Dastarhan,https://www.yelp.com/biz/dastarhan-seri-kembangan,011-2857 4344,"C-G-62, Jalan Sp 5/4",1,Russian,,5 star rating
M8 Bar,https://www.yelp.com/biz/m8-bar-kuala-lumpur,03-2386 6030,163 Lorong Kuda,1,Cocktail Bars,$$,5 star rating
Lai Foong Restaurant,https://www.yelp.com/biz/lai-foong-restaurant-kuala-lumpur,03-2072 8123,Jalan Tun H S Lee,3,Malaysian,,4.5 star rating
1919 Restaurant,https://www.yelp.com/biz/1919-restaurant-kuala-lumpur,03-2161 9919,15 A Jalan Yap Kwan Seng,3,Asian Fusion,,4.5 star rating
Satay Station,https://www.yelp.com/biz/satay-station-kuala-lumpur,019-383 6607,"No. 17, Jalan Dwitasik 2",2,Malaysian,,4 star rating
Cu Cha,https://www.yelp.com/biz/cu-cha-kuala-lumpur,,"75, Jalan Alor",1,Chinese,,5 star rating
Breakfast Thieves,https://www.yelp.com/biz/breakfast-thieves-kuala-lumpur,03-2788 3548,29-5 Jalan Riong,5,Breakfast & Brunch,,4.5 star rating
Retoran Wadi Hadramawt,https://www.yelp.com/biz/retoran-wadi-hadramawt-kuala-lumpur,03-4253 3333,226 Jalan Ampang,5,Arabian,,4.5 star rating
Alexis Bistro & Wine Bar,https://www.yelp.com/biz/alexis-bistro-and-wine-bar-kuala-lumpur,Located in Great Eastern Mall,Located in Great Eastern Mall,11,Wine Bars,$$$,3.5 star rating
Ho Kow Hainanese Kopitiam,https://www.yelp.com/biz/ho-kow-hainanese-kopitiam-kuala-lumpur,03-2856 8287,"1, Jalan Balai Polis",1,Kopitiam,,5 star rating
The Canteen Room,https://www.yelp.com/biz/the-canteen-room-kuala-lumpur,,"2, Jalan Yap Kwan Seng",1,Malaysian,,5 star rating
Xin Cuisine,https://www.yelp.com/biz/xin-cuisine-kuala-lumpur,03-2144 8750,2 Jalan Sultan Ismail,3,Chinese,$$,5 star rating
Village Park Nasi Lemak,https://www.yelp.com/biz/village-park-nasi-lemak-petaling-jaya,012-273 8438,"5, Jalan SS 21/37",68,Nasi Lemak,$$,4 star rating
Hung Kee Restaurant,https://www.yelp.com/biz/restoran-hung-kee-kuala-lumpur,03-9221 7251,No. 28-5 & 28-6 Jalan Loke Yew,4,Chinese,,4.5 star rating
Restaurant Wong Kee,https://www.yelp.com/biz/restaurant-wong-kee-kuala-lumpur,03-2145 2512,"No. 30, Jalan Nyonya",8,Chinese,$$,5 star rating
Restaurant Sun Huat Kee,https://www.yelp.com/biz/restaurant-sun-huat-kee-kuala-lumpur,,"348, Jalan Tun Abdul Razak",1,Chinese,,5 star rating
Fatty Bak Kut Teh & Fish Head,https://www.yelp.com/biz/fatty-bak-kut-teh-and-fish-head-kuala-lumpur,012-366 0035,"5, Jalan Klang Lama",2,Chinese,$,4.5 star rating
Ah Cheng Laksa,https://www.yelp.com/biz/ah-cheng-laksa-kuala-lumpur-4,,"Jln Kerinchi, Lot 1-1 1st Floor",1,Malaysian,,4 star rating
Dining In The Dark KL,https://www.yelp.com/biz/dining-in-the-dark-kl-kuala-lumpur,,"50, Changkat Bukit Bintang, Bukit Bintang",12,Diners,,4 star rating
Persia Restaurant,https://www.yelp.com/biz/persia-restaurant-kuala-lumpur,03-2164 4454,"218, Jalan Ampang",1,Persian/Iranian,,5 star rating
Maison Française,https://www.yelp.com/biz/maison-fran%C3%A7aise-kuala-lumpur,03-2144 1474,"No. 5, Jalan Changkat Kia Peng",4,French,$$$,4 star rating
PULP,https://www.yelp.com/biz/pulp-kuala-lumpur,03-2201 3650,29-01 Jalan Riong,25,Cafes,$$,4.5 star rating
Sassorosso,https://www.yelp.com/biz/sassorosso-kuala-lumpur,03-2166 6428,"9, Lorong Yap Kwan Seng",3,Italian,$$$,4.5 star rating
Bumbu Desa,https://www.yelp.com/biz/bumbu-desa-kuala-lumpur,03-2161 3532,"415, Jalan Ampang",2,Indonesian,,4.5 star rating
Restoran Han Kee,https://www.yelp.com/biz/restoran-han-kee-kuala-lumpur,017-207 4448,"N0. 42, Jalan Sultan",2,Chinese,,5 star rating
Limapulo,https://www.yelp.com/biz/limapulo-kuala-lumpur-2,03-2698 3268,"50, Jalan Doraisamy",9,Nyonya,$,3.5 star rating
Inner Mongolian Steamboat,https://www.yelp.com/biz/inner-mongolian-steamboat-kuala-lumpur,03-7986 0282,"30,Jalan Kuchai Maju 6",1,Mongolian,,4 star rating
One Seafood Restaurant,https://www.yelp.com/biz/one-seafood-restaurant-kuala-lumpur,03-2143 3323,"Lot. 510, Jalan Bukit Bintang",1,Seafood,,4 star rating
Le Midi,https://www.yelp.com/biz/le-midi-kuala-lumpur,03-2094 1318,Jalan Maarof,3,French,,4.5 star rating
Sambal Hijau,https://www.yelp.com/biz/sambal-hijau-kuala-lumpur,03-7731 2045,Jalan Damansara,4,Malaysian,,4.5 star rating
Melur & Thyme,https://www.yelp.com/biz/melur-dan-thyme-kuala-lumpur-2,03-2276 3855,KL Sentral,5,Singaporean,$,4 star rating
Cielo,https://www.yelp.com/biz/cielo-kuala-lumpur,03-2022 1798,23-01 VIDA Bukit Ceylon,1,Steakhouses,,5 star rating
Ah Loong Grilled Seafood,https://www.yelp.com/biz/ah-loong-grilled-seafood-kuala-lumpur,012-386 2832,"12-14, Jalan Jinjang Aman 2",1,Seafood,,5 star rating
Lima Blas,https://www.yelp.com/biz/lima-blas-kuala-lumpur,03-2110 1289,15 Jln Mesui,12,Nyonya,$$,4 star rating
Restoran Nasi Kandar Berkat Ariffin,https://www.yelp.com/biz/restoran-nasi-kandar-berkat-ariffin-kuala-lumpur,,"No 43 A, Jalan Metro Pudu 2 Fraser Business Park",1,Indian,,3 star rating
Nasi Lemak Hilton Corner,https://www.yelp.com/biz/nasi-lemak-hilton-corner-kuala-lumpur,,Jalan Sultan Ismail,1,Nasi Lemak,,4 star rating
Restoran Malaya Hainan,https://www.yelp.com/biz/restoran-malaya-hainan-kuala-lumpur,019-329 7899,"Lot 16, Section 24, Jalan Panggong,",1,Restaurants,,4 star rating
Las Vacas,https://www.yelp.com/biz/las-vacas-kuala-lumpur,03-6205 2258,Jalan Kiara,4,Steakhouses,$$$,4 star rating
La Boca,https://www.yelp.com/biz/la-boca-kuala-lumpur,03-2148 9977,"168, Jalan Bukit Bintang",10,Latin American,$$$,3.5 star rating
Fuego,https://www.yelp.com/biz/fuego-kuala-lumpur,Located in The Troika,Located in The Troika,18,Latin American,$$,4.5 star rating
Restaurant Seoul Korea,https://www.yelp.com/biz/restaurant-seoul-korea-kuala-lumpur,012-373 1176,"No 1-1 1st, Plaza Danau 2",1,Korean,,5 star rating
Din Tai Fung,https://www.yelp.com/biz/din-tai-fung-kuala-lumpur-2,Located in Pavilion KL,Located in Pavilion KL,42,Dim Sum,$$,4 star rating
Lai Po Heen @ Hotel Mandarin Oriental,https://www.yelp.com/biz/lai-po-heen-kuala-lumpur-2,03-2179 8885,"Mandarin Oriental, Jalan Pinang",6,Chinese,$$$,4.5 star rating
Dolly Dim Sum,https://www.yelp.com/biz/dolly-dim-sum-kuala-lumpur,03-2181 3830,"156, Jalan Ampang",7,Dim Sum,$$,4.5 star rating
Yong Tau Foo Hawker,https://www.yelp.com/biz/yong-tau-foo-hawker-kuala-lumpur,,Jalan Perak,1,Food Stands,,5 star rating
Basil Pasta House,https://www.yelp.com/biz/basil-pasta-house-kuala-lumpur,03-7972 8884,"21, Jalan Kuchai Maju 6",6,Italian,$$,5 star rating
Cava,https://www.yelp.com/biz/cava-kuala-lumpur,03-2093 6637,71 Jalan Bangkung,1,French,$$$,5 star rating
Hawker Chan,https://www.yelp.com/biz/hawker-chan-kuala-lumpur,017-367 3392,"135, Jalan Petaling",1,Chinese,,5 star rating
Madam Kwan’s,https://www.yelp.com/biz/madam-kwans-kuala-lumpur-4,03-2143 2297,168 Jalan Bukit Bintang,9,Malaysian,$$,3.5 star rating
Mali’s Corner,https://www.yelp.com/biz/malis-corner-kuala-lumpur,,"No.9-1, Jalan Langkawi,",8,Malaysian,$$,4.5 star rating
Sany Char Kuey Teow,https://www.yelp.com/biz/sany-char-kuey-teow-kuala-lumpur,017-322 7465,64 Jalan Kuantan,2,Teochew,,4 star rating
Jake’s Charbroil Steaks,https://www.yelp.com/biz/jakes-charbroil-steaks-kuala-lumpur,03-2094 5677,"21, Jalan Setiapuspa, Medan Damansara",6,Steakhouses,$$$,4.5 star rating
Aunty Nat,https://www.yelp.com/biz/aunty-nat-kuala-lumpur,03-6201 1833,1-17 Jalan Sri Hartamas 7,13,Nyonya,$$,4.5 star rating
Vasco’s,https://www.yelp.com/biz/vascos-kuala-lumpur,Located in Hilton Kuala Lumpur,Located in Hilton Kuala Lumpur,2,Buffets,,5 star rating
Restoran Sang Kee,https://www.yelp.com/biz/restoran-sang-kee-kuala-lumpur,,"No.48G, Jalan Pandan 3/2",1,Chinese,,4 star rating
Mario & Luigi,https://www.yelp.com/biz/mario-and-luigi-kuala-lumpur,03-2282 3571,"15 & 15a, Taman Weng Lock",8,Italian,,4.5 star rating
Hup Kee Seafood,https://www.yelp.com/biz/hup-kee-seafood-kuala-lumpur,,"4A, Batu 4 1/2 Jalan Ipoh",1,Chinese,,5 star rating
Shawarma Halap,https://www.yelp.com/biz/shawarma-halap-kuala-lumpur,011-1572 0764,Jalan Nagasari,1,Middle Eastern,,5 star rating
Spazio Restaurant,https://www.yelp.com/biz/spazio-restaurant-kuala-lumpur,+44 1111 385033,1 Jalan Pantai Murni,1,Middle Eastern,,4 star rating
A Li Ya,https://www.yelp.com/biz/a-li-ya-kuala-lumpur,,Jalan Medan Setia,2,Sri Lankan,,4 star rating
El Cerdo,https://www.yelp.com/biz/el-cerdo-kuala-lumpur-2,03-2145 0511,"43 & 45, Changkat Bukit Bintang",4,Spanish,$$$,4.5 star rating
Leaf & Co. Cafe,https://www.yelp.com/biz/leaf-and-co-cafe-kuala-lumpur,03-2020 2220,53 Jalan Sultan,1,Cafes,,5 star rating
Restaurant DC by Darren Chin,https://www.yelp.com/biz/restaurant-dc-by-darren-chin-kuala-lumpur,03-7731 0502,"No 44, Persiaran Zaaba",3,Modern European,$$$$,3.5 star rating
Ciao Ristorante,https://www.yelp.com/biz/ciao-ristorante-kuala-lumpur,03-9285 4827,"20A, Jalan Kampung Pandan",6,Italian,$$$,5 star rating
Auntie Lora Kopitiam,https://www.yelp.com/biz/auntie-lora-kopitiam-kuala-lumpur,03-9134 9998,23 Jalan Manis 4,1,Kopitiam,,5 star rating
Nando’s,https://www.yelp.com/biz/nandos-kuala-lumpur-16,Located in Bangsar Village,Located in Bangsar Village,13,Chicken Shop,$$,4 star rating
Pudu Hakka Noodles,https://www.yelp.com/biz/pudu-hakka-noodles-kuala-lumpur,,"446, Jalan Sayur",1,Noodles,,5 star rating
Restoran Meng Shiang,https://www.yelp.com/biz/restoran-meng-shiang-kuala-lumpur,,"1 & 3, Jalan Kaskas 2",1,Chinese,,5 star rating
Baba Low Bangsar,https://www.yelp.com/biz/baba-low-bangsar-kuala-lumpur,03-2202 0038,2 Jalan Abdullah,1,Malaysian,,5 star rating
Nasi Lemak Mak Wanjor,https://www.yelp.com/biz/nasi-lemak-mak-wanjor-kuala-lumpur,,"12, Jalan Raja Muda Musa",5,,,4 star rating
Baba low,https://www.yelp.com/biz/baba-low-kuala-lumpur,,"11, Lorong Kurau",10,Nyonya,$$,4 star rating
WIP,https://www.yelp.com/biz/wip-kuala-lumpur,03-2094 1789,"Jalan 222, Bangsar Shopping Centre",17,Gastropubs,$$$,4 star rating
Gin Ger Thai Cuisine,https://www.yelp.com/biz/gin-ger-thai-cuisine-kuala-lumpur,03-2273 7371,23-49 Jalan Hang Kasturi,2,Asian Fusion,,4 star rating
Dancing Fish,https://www.yelp.com/biz/dancing-fish-kuala-lumpur,03-2095 6663,"285, Jalan Maarof",15,Indonesian,$$,4 star rating
Kedai Kopi dan Makanan Hong Lai 蓬莱茶餐室,https://www.yelp.com/biz/kedai-kopi-dan-makanan-hong-lai-%E8%93%AC%E8%8E%B1%E8%8C%B6%E9%A4%90%E5%AE%A4-kuala-lumpur,,"83, Jalan Genting Klang",2,Chinese,$,4 star rating
Lim Kee Cafe,https://www.yelp.com/biz/lim-kee-cafe-kuala-lumpur,03-2022 1131,66-68 Jalan Sultan,2,Cafes,,5 star rating
Tanglin Nasi Lemak,https://www.yelp.com/biz/nasi-lemak-tanglin-kuala-lumpur,03-2284 3366,Jalan Cendrasari,3,Nasi Lemak,,3.5 star rating
Tian Yian Cafe & Restaurant,https://www.yelp.com/biz/tian-yian-cafe-dan-restaurant-kuala-lumpur,03-9281 8837,"5, 7 & 9, Jalan 3/93, Taman Miharja, Jalan Cheras",1,Restaurants,,5 star rating
Quivo,https://www.yelp.com/biz/quivo-kuala-lumpur,03-2141 7711,"168, Jalan Bukit Bintang",10,Mediterranean,$$,4 star rating
Lafite Restaurant,https://www.yelp.com/biz/lafite-restaurant-kuala-lumpur,Located in Shangri-la KL,Located in Shangri-la KL,2,Malaysian,$$$$,4.5 star rating
Shin Kee Beef Noodle Specialist,https://www.yelp.com/biz/shin-kee-beef-noodle-specialist-toluca-de-lerdo,,"7A, Jalan Tun Tan Cheng Lock",2,Malaysian,$,4.5 star rating
Hoji & Matcha,https://www.yelp.com/biz/hoji-dan-matcha-kuala-lumpur,012-205 2720,"49, Jalan Radin Tengah",5,Japanese,,4 star rating
Restoran ZK,https://www.yelp.com/biz/restoran-zk-kuala-lumpur,03-2273 9786,"No, 76, Jalan Kampung Attap",1,Malaysian,,4 star rating
Portofino,https://www.yelp.com/biz/portofino-kuala-lumpur,016-775 2387,1 Persiaran Ara Kiri,5,Italian,,4.5 star rating
Restoran Win Heng Seng,https://www.yelp.com/biz/restoran-win-heng-seng-kuala-lumpur,,183 Jalan Imbi,1,Food Stands,,5 star rating
